French,English
de,And
la,THE
le,of the
et,in
les,A
des,of
en,a
un,that
du,East
une,For
que,Who
est,In
pour,has
qui,by
dans,more
a,not
par,At
plus,on
pas,born
au,himself
sur,THE
ne,This
se,he
Le,are
ce,There
il,THE
sont,Or
La,with
Les,her
ou,He
avec,to
son,of a
Il,In
aux,this
d'un,of a
En,have
cette,his
d'une,but
ont,as
ses,we
mais,All
comme,We
on,its
tout,But
nous,do
sa,summer
Mais,Also
fait,their
été,GOOD
aussi,can
leur,these
bien,y
peut,two
ces,HAS
y,years
deux,L
A,Again
ans,is not
l,walk
encore,d
n'est,For
marché,SO
d,course
Pour,that he
donc,less
cours,without
qu'il,It is
moins,And
sans,if
C'est,between
Et,A
si,This
entre,TO DO
Un,She
Ce,It is
faire,little
elle,YOU
c'est,A
peu,price
vous,We
Une,of which
prix,him
On,also
dont,In
lui,effect
également,country
Dans,case
effet,Of
pays,millions
cas,Belgium
De,BEF
millions,month
Belgique,their
BEF,rate
mois,years
leurs,time
taux,band
années,Thus
temps,always
groupe,Company
ainsi,Since
toujours,all
société,either
depuis,must
tous,Brussels
soit,times
faut,a few
Bruxelles,will be
fois,companies
quelques,F
sera,against
entreprises,francs
F,I
contre,n / A
francs,We
je,This
n'a,last
Nous,was
Cette,If
dernier,has
était,at the house of
Si,L
s'est,world
chez,SO
L,below
monde,actions
alors,others
sous,At
actions,they
autres,stay
Au,three
ils,No
reste,OUR
trois,must
non,new
notre,billions
doit,Before
nouveau,example
milliards,account
avant,Belgian
exemple,first
compte,s
belge,new
premier,She
s,one
nouvelle,term
Elle,had
l'on,products
terme,that
avait,others
produits,END
cela,level
d'autres,profit
fin,all
niveau,work
bénéfice,part
toute,too much
travail,increase
partie,sector
trop,share
hausse,a lot
secteur,I
part,value
beaucoup,growth
Je,report
valeur,USD
croissance,Today
rapport,year
USD,base
aujourd'hui,Sotck exchange
année,during
base,towards
Bourse,often
lors,life
vers,the company
souvent,other
vie,can
l'entreprise,Good
autre,Above all
peuvent,all
bon,number
surtout,funds
toutes,point
nombre,large
fonds,day
point,go
grande,to have
jour,our
va,some
avoir,place
nos,big
quelque,people
place,several
grand,some
personnes,business
plusieurs,allow
certains,policy
d'affaires,this
permet,each
politique,figure
cet,could
chaque,should
chiffre,product
pourrait,the year
devrait,By
produit,Nothing
l'année,better
Par,the one
rien,quality
mieux,France
celui,They
qualité,These
France,it is about
Ils,sale
Ces,Never
s'agit,production
vente,action
jamais,drop
production,With
action,results
baisse,Of the
Avec,your
résultats,risk
Des,beginning
votre,bank
risque,year
début,see
banque,have
an,that one
voir,that
avons,they
qu'un,moment
qu',that we
elles,question
moment,power
qu'on,title
question,doubt
pouvoir,long
titre,little
doute,Besides
long,notably
petit,FB
d'ailleurs,right
notamment,what
FB,hours
droit,However
qu'elle,service
heures,UNITED STATES
cependant,that they
service,the action
Etats-Unis,days
qu'ils,that
l'action,request
jours,Belgians
celle,those
demande,services
belges,Good
ceux,will be
services,economic
bonne,reason
seront,because
économique,situation
raison,From
car,business
situation,me
Depuis,news
entreprise,there is no
me,possible
nouvelles,however
n'y,so much
possible,new
toutefois,according to
tant,because
nouveaux,said
selon,alone
parce,that one
dit,companies
seul,come
qu'une,until
sociétés,four
vient,markets
jusqu',bet
quatre,only
marchés,Van
mise,seems
seulement,customers
Van,All
semble,That
clients,would be
Tout,strong
Cela,costs
serait,place
fort,management
frais,make
lieu,When
gestion,capital
font,government
quand,#VALUE!
capital,#VALUE!
gouvernement,#VALUE!